Acroneuria,Aeshna,Amphipoda,Ancyronyx,Argia,Baetidae,Baetisca,Caenis,Ceraclea,Ceratopogoninae,Cheumatopsyche,Chimarra,Chironomidae,Corydalus,Ectopria,Ephemerellidae,Hemerodromia,Heptageniidae,Hydropsyche,Hydropsychidae,Ironoquia,Isonychia,Isoperla,Isopoda,Leptoceridae,Macronychus,Macrostemum,Neargyractis,Nectopsyche,Nemouridae,Neoperla,Neureclipsis,Neurocordulia,Oecetis,Paragnetina,Perlesta,Perlidae,Polycentropodidae,Psephenus,Pteronarcys,Pycnopsyche,Simuliidae,Stenelmis,Taeniopteryx,Tanypodinae,Tipula,Tipulidae,UID
2.662335934,0,0,36.76048248,0,1289.534023584,0,0,0,2.297530155,5098.641981263,585.426806097,37384.847387052,12.120109809999999,0,463.995017191,17.530302792999997,656.723784647,2903.465985405,14.31664847,0,142.35593312,0,9.822579655,0,231.668425875,0,1.227822457,0,76.340696019,48.707758205,4.59506031,0,105.59545064000001,29.284396574000006,0,128.658401198,0,0,29.593630889000003,0,1848.2848188100002,750.086120378,181.78467107600002,0,0,0,19830107
138.14539804,0,69.07269902,23.896765969,0,3408.6592547,0,0,0,42.4831395,2523.937404987,154.13598213999998,45408.18836428,0,0,1513.95322533,470.7860912499999,139.530146979,2528.188901692,0,0,1587.5364412200001,0,155.27161828,0,469.270236957,0,0,0,0,4.26857899,0,0,0,483.50889304000003,0,139.03803974800002,0,0,69.07269902,2.729481126,4371.22785009,1204.7847888000001,48.89809925,0,34.14863192,0,19830205
0,0,0,0,0,217.543983733,0,0,0,6.5260468209999996,107.518293376,3.3271227039999998,8846.848305768,0,0,71.202473536,26.586204122999998,50.693968068,63.402459428,0,21.839523304,7.817534696999999,4.348204192,319.392556281,0,0,0,0,0,0,0,0,0,0,0,0,116.188908147,0,0,0,0,2795.100329899,26.616981629999998,2.238939638,0,0,0,19830304
443.413191754,0,0,41.775456919999996,0,659.799297279,0,0,0,0,3158.560604382,2521.855175094,39188.948507002,6.624271330000001,0,1042.591116095,0,591.5551312250001,1037.6775423180002,0,6.624271330000001,508.339319304,0,1625.929095988,0,305.355124263,0,0,0,0,120.963343299,0,8.462372815,59.618441970000006,32.267540637,905.4756157850001,0,0,0,113.906345218,0,857.718154924,386.196919125,182.226319176,0,0,59.47505204,19830408
23.545594802,0,63.35379133,124.799429457,0,1027.380865748,0,0,3.474635163,0,45.660544569,0,108417.059065061,0,0,280.150445073,0,248.54890993600003,540.346864475,617.063973602,0,101.524917695,0,624.079039987,0,12.454586873,0,0,0,0,0,0,6.47548156,1.782848993,17.769177061,97.392111622,0,0,0,9.645414839,0,808.242242735,15.887635889999999,0,0,0,0,19830507
24.406818715,0,128.909823581,69.72690297,0,2151.586283621,0,0,0,0,294.997563891,3082.186965019,153619.107323752,7.3556659049999995,0,0,2075.323688681,3148.3567847229997,3033.27321231,17723.392311541,0,7.042253521000001,0,0,0,951.242692292,0,0,0,0,2.905287623,0,0,0,37.658173829,408.668248747,0,0,0,65.190237229,0,271.83671468,513.476637973,0,0,0,0,19830603
80.10377194499999,3.422313484,43.731334256000004,480.66056678000007,0,2273.828576642,0,0,0,52.40746806,2395.546030527,549.766624917,36075.475401334,0,0,853.4172429140001,0,820.001492466,1499.688356679,84.83563097,0,65.70695667999999,0,0,0,2139.270765462,0,0,0,0,0,0,0,414.93798011,25.198829694,3.534817957,0,0,0,60.439321352,0,578.9255944399999,876.391198078,0,0,0,1445.552405939,19830701
69.20048688,0,1622.34405181,145.647078214,0,28606.507110111,0,535.470349325,0,92.68880472000001,4119.3877711059995,40176.093868671,202321.82274803,349.486639024,83.3072998,166.6145996,628.295227932,1361.6375766019999,7300.617822163001,305.65476900000004,0,276.330261419,0,29.58142287,0,4060.471372685,5.780012716,0,1334.393006514,0,0,20.27163998,10.53629755,1407.494982695,8.4561277,41.713208124,38.925652,0,118.32569149999999,96.23593730799999,0,2018.2984954190001,3700.111625439,0,0,0,0,19830729
22.476941222,0,0,201.738861848,7.5182317119999995,2615.0880934320003,0,225.53630226800001,41.277539860000005,86.63085661,3107.8392197559997,11663.654630141,49431.834553400004,99.431178948,44.40497336,0,0,1026.136196398,15786.14726869,110.71208131200001,0,83.45327184,0,0,20.706077229999998,4265.867187395999,11.10124334,7.5182317119999995,20.672423579999997,0,0,18.839734072,11.134338214,204.307238975,65.118779088,104.643054309,265.391601396,103.5303862,0,28.804586781,0,2940.2158824999997,3567.10021143,0,0,0,396.479850294,19830827
28.225868742,0,0,21.41470972,0,11352.081985621,0,521.881983933,0,885.4507462949999,573.267212739,5329.163737021,112656.68277642402,57.367068435,0,13.320013320000001,765.683603488,718.45741102,29387.784325162,257.6271186,0,0,0,0,0,718.8471351000001,0,21.481968919,27.11864406,0,62.819182725,0,15.688257917000001,6.795230596000001,78.320049188,36.580767910000006,109.094757,0,0,4.262574595,0,14757.708630725,2230.4926271140002,0,0,0,0,19830923
